account_id,account_name,industry,employees,region,lead_source,est_arr,icp_score,icp_tier,recommended_action,why
A-07056,Yarrow Bioscience,Banking,102,Canada,Paid Search,12000,71.0,B,"SDR sequence, standard cadence",industry=Banking (1.41x win rate); weak size_band=100-500 (0.94x); lead_source=Paid Search (1.12x win rate)
A-07003,Vault Foods,Healthcare,333,US-East,Inbound Demo,12000,70.3,B,"SDR sequence, standard cadence",industry=Healthcare (1.42x win rate); weak size_band=100-500 (0.94x); lead_source=Inbound Demo (1.15x win rate)
A-07068,Kilmarnock Foods,Healthcare,4046,US-West,Conference,154000,70.0,B,"SDR sequence, standard cadence",industry=Healthcare (1.42x win rate); size_band=2K-5K (1.29x win rate); weak lead_source=Conference (0.61x)
A-07044,Maplewood Labs,Healthcare,612,US-West,Partner Referral,25000,69.8,B,"SDR sequence, standard cadence",industry=Healthcare (1.42x win rate); weak size_band=500-2K (0.99x); lead_source=Partner Referral (1.24x win rate)
A-07024,Thornbury Analytics,Manufacturing,2043,UK/EU,Partner Referral,60000,68.6,B,"SDR sequence, standard cadence",size_band=2K-5K (1.29x win rate); lead_source=Partner Referral (1.24x win rate); region=UK/EU (1.11x win rate)
A-07026,Ironwood Health,Retail,3620,Canada,Outbound SDR,207000,68.5,B,"SDR sequence, standard cadence",size_band=2K-5K (1.29x win rate); weak lead_source=Outbound SDR (0.79x); region=Canada (1.08x win rate)
A-07025,Norbury Financial,Banking,81,US-East,Paid Search,12000,67.9,B,"SDR sequence, standard cadence",industry=Banking (1.41x win rate); weak size_band=1-100 (0.92x); lead_source=Paid Search (1.12x win rate)
A-07058,Carrickfern Labs,Banking,340,Canada,Webinar,12000,67.7,B,"SDR sequence, standard cadence",industry=Banking (1.41x win rate); weak size_band=100-500 (0.94x); region=Canada (1.08x win rate)
A-07069,Kestrel Financial,Banking,346,Canada,Webinar,12000,67.7,B,"SDR sequence, standard cadence",industry=Banking (1.41x win rate); weak size_band=100-500 (0.94x); region=Canada (1.08x win rate)
A-07011,Marlowe Diagnostics,Pharmaceuticals,77,UK/EU,Inbound Demo,12000,66.5,B,"SDR sequence, standard cadence",industry=Pharmaceuticals (1.29x win rate); weak size_band=1-100 (0.92x); lead_source=Inbound Demo (1.15x win rate)
A-07009,Glenmore Labs,Education,13401,UK/EU,Paid Search,625000,66.4,B,"SDR sequence, standard cadence",lead_source=Paid Search (1.12x win rate); region=UK/EU (1.11x win rate)
A-07034,Jesmond Analytics,Banking,50,Canada,Webinar,12000,66.4,B,"SDR sequence, standard cadence",industry=Banking (1.41x win rate); weak size_band=1-100 (0.92x); region=Canada (1.08x win rate)
A-07013,Everly Partners,Healthcare,659,US-West,Paid Search,39000,66.1,B,"SDR sequence, standard cadence",industry=Healthcare (1.42x win rate); weak size_band=500-2K (0.99x); lead_source=Paid Search (1.12x win rate)
A-07038,Sable Therapeutics,Pharmaceuticals,96,US-East,Partner Referral,12000,66.1,B,"SDR sequence, standard cadence",industry=Pharmaceuticals (1.29x win rate); weak size_band=1-100 (0.92x); lead_source=Partner Referral (1.24x win rate)
A-07029,Fairhaven Foods,Retail,9895,Canada,Inbound Demo,331000,65.6,B,"SDR sequence, standard cadence",lead_source=Inbound Demo (1.15x win rate); region=Canada (1.08x win rate)
A-07071,Dunmore Materials,Manufacturing,3636,Canada,Paid Search,124000,63.6,B,"SDR sequence, standard cadence",size_band=2K-5K (1.29x win rate); lead_source=Paid Search (1.12x win rate); region=Canada (1.08x win rate)
A-07063,Inverness Insurance,Retail,6157,UK/EU,Webinar,237000,62.6,B,"SDR sequence, standard cadence",region=UK/EU (1.11x win rate)
A-07060,Bellamy Networks,Healthcare,679,US-East,Outbound SDR,48000,62.3,B,"SDR sequence, standard cadence",industry=Healthcare (1.42x win rate); weak size_band=500-2K (0.99x); weak lead_source=Outbound SDR (0.79x)
A-07041,Sable Financial,Pharmaceuticals,65,US-East,Webinar,12000,59.1,B,"SDR sequence, standard cadence",industry=Pharmaceuticals (1.29x win rate); weak size_band=1-100 (0.92x)
A-07066,Jesmond Aviation,Healthcare,199,US-East,Outbound SDR,12000,58.8,B,"SDR sequence, standard cadence",industry=Healthcare (1.42x win rate); weak size_band=100-500 (0.94x); weak lead_source=Outbound SDR (0.79x)
A-07014,Hollingsworth Systems,Banking,274,US-East,Outbound SDR,12000,58.6,B,"SDR sequence, standard cadence",industry=Banking (1.41x win rate); weak size_band=100-500 (0.94x); weak lead_source=Outbound SDR (0.79x)
A-07008,Westmere Media,Education,761,US-East,Inbound Demo,41000,58.3,B,"SDR sequence, standard cadence",weak size_band=500-2K (0.99x); lead_source=Inbound Demo (1.15x win rate)
A-07046,Loxley Industries,Pharmaceuticals,159,UK/EU,Outbound SDR,12000,56.2,B,"SDR sequence, standard cadence",industry=Pharmaceuticals (1.29x win rate); weak size_band=100-500 (0.94x); weak lead_source=Outbound SDR (0.79x)
A-07002,Braemar Industries,Healthcare,674,US-West,Outbound SDR,26000,55.5,B,"SDR sequence, standard cadence",industry=Healthcare (1.42x win rate); weak size_band=500-2K (0.99x); weak lead_source=Outbound SDR (0.79x)
A-07007,Grayling Therapeutics,Retail,347,US-East,Inbound Demo,12000,54.4,C,Nurture campaign only,weak size_band=100-500 (0.94x); lead_source=Inbound Demo (1.15x win rate)
A-07050,Yarrow Holdings,Retail,87,Canada,Paid Search,12000,54.0,C,Nurture campaign only,weak size_band=1-100 (0.92x); lead_source=Paid Search (1.12x win rate); region=Canada (1.08x win rate)
A-07019,Ashcombe Clinical,Education,46,US-East,Inbound Demo,12000,53.6,C,Nurture campaign only,weak size_band=1-100 (0.92x); lead_source=Inbound Demo (1.15x win rate)
A-07055,Tamarack Systems,Logistics,6809,UK/EU,Inbound Demo,288000,53.6,C,Nurture campaign only,lead_source=Inbound Demo (1.15x win rate); region=UK/EU (1.11x win rate)
A-07048,Vantage Capital,Pharmaceuticals,195,US-West,Webinar,12000,53.5,C,Nurture campaign only,industry=Pharmaceuticals (1.29x win rate); weak size_band=100-500 (0.94x); weak region=US-West (0.83x)
A-07073,Vantage Partners,Retail,196,UK/EU,Webinar,12000,53.2,C,Nurture campaign only,weak size_band=100-500 (0.94x); region=UK/EU (1.11x win rate)
A-07031,Yarrow Industries,Education,95,US-East,Paid Search,12000,52.7,C,Nurture campaign only,weak size_band=1-100 (0.92x); lead_source=Paid Search (1.12x win rate)
A-07012,Dalhousie Logistics,Education,63,UK/EU,Webinar,12000,52.5,C,Nurture campaign only,weak size_band=1-100 (0.92x); region=UK/EU (1.11x win rate)
A-07010,Harrowgate Partners,Healthcare,83,US-East,Conference,12000,51.9,C,Nurture campaign only,industry=Healthcare (1.42x win rate); weak size_band=1-100 (0.92x); weak lead_source=Conference (0.61x)
A-07057,Stonegate Group,Banking,215,US-West,Outbound SDR,12000,51.7,C,Nurture campaign only,industry=Banking (1.41x win rate); weak size_band=100-500 (0.94x); weak lead_source=Outbound SDR (0.79x)
A-07017,Cobalt Capital,Hospitality,2169,UK/EU,Paid Search,79000,51.3,C,Nurture campaign only,weak industry=Hospitality (0.40x); size_band=2K-5K (1.29x win rate); lead_source=Paid Search (1.12x win rate)
A-07018,Maplewood Holdings,Real Estate,3879,US-West,Partner Referral,116000,51.2,C,Nurture campaign only,weak industry=Real Estate (0.54x); size_band=2K-5K (1.29x win rate); lead_source=Partner Referral (1.24x win rate)
A-07015,Kingsley Aviation,Manufacturing,3682,US-East,Outbound SDR,129000,51.1,C,Nurture campaign only,size_band=2K-5K (1.29x win rate); weak lead_source=Outbound SDR (0.79x)
A-07049,Ashcombe Systems,Pharmaceuticals,824,US-East,Conference,26000,50.9,C,Nurture campaign only,industry=Pharmaceuticals (1.29x win rate); weak size_band=500-2K (0.99x); weak lead_source=Conference (0.61x)
A-07036,Umberton Holdings,Education,192,US-East,Webinar,12000,50.6,C,Nurture campaign only,weak size_band=100-500 (0.94x)
A-07028,Dalhousie Retail Co,Hospitality,2636,US-East,Paid Search,110000,48.1,C,Nurture campaign only,weak industry=Hospitality (0.40x); size_band=2K-5K (1.29x win rate); lead_source=Paid Search (1.12x win rate)
A-07037,Westmere Logistics,Logistics,3570,US-East,Conference,284000,47.6,C,Nurture campaign only,size_band=2K-5K (1.29x win rate); weak lead_source=Conference (0.61x)
A-07016,Halden Systems,Manufacturing,9707,US-West,Partner Referral,557000,44.2,C,Nurture campaign only,lead_source=Partner Referral (1.24x win rate); weak region=US-West (0.83x)
A-07047,Elderwood Clinical,Logistics,313,US-East,Partner Referral,15000,43.9,C,Nurture campaign only,weak size_band=100-500 (0.94x); lead_source=Partner Referral (1.24x win rate)
A-07005,Hollingsworth Media,Media,1235,US-East,Webinar,32000,41.0,C,Nurture campaign only,weak size_band=500-2K (0.99x)
A-07023,Inverness Diagnostics,Logistics,972,US-West,Partner Referral,36000,40.5,C,Nurture campaign only,weak size_band=500-2K (0.99x); lead_source=Partner Referral (1.24x win rate); weak region=US-West (0.83x)
A-07067,Harrowgate Group,Logistics,517,US-East,Webinar,33000,40.3,C,Nurture campaign only,weak size_band=500-2K (0.99x)
A-07004,Everly Capital,Logistics,210,US-East,Paid Search,12000,40.2,C,Nurture campaign only,weak size_band=100-500 (0.94x); lead_source=Paid Search (1.12x win rate)
A-07035,Fenwick Therapeutics,Logistics,359,US-East,Paid Search,17000,40.2,C,Nurture campaign only,weak size_band=100-500 (0.94x); lead_source=Paid Search (1.12x win rate)
A-07074,Meridian Aviation,Retail,10635,US-West,Conference,475000,39.6,C,Nurture campaign only,weak lead_source=Conference (0.61x); weak region=US-West (0.83x)
A-07039,Braemar Systems,Media,637,US-West,Inbound Demo,12000,38.4,C,Nurture campaign only,weak size_band=500-2K (0.99x); lead_source=Inbound Demo (1.15x win rate); weak region=US-West (0.83x)
A-07059,Braemar Holdings,Logistics,74,Canada,Webinar,12000,37.4,C,Nurture campaign only,weak size_band=1-100 (0.92x); region=Canada (1.08x win rate)
A-07052,Clearwave Insurance,Manufacturing,7054,US-West,Webinar,374000,37.1,C,Nurture campaign only,weak region=US-West (0.83x)
A-07061,Cobalt Foods,Manufacturing,268,Canada,Webinar,12000,36.5,C,Nurture campaign only,weak size_band=100-500 (0.94x); region=Canada (1.08x win rate)
A-07051,Fenwick Networks,Real Estate,1192,US-East,Inbound Demo,49000,35.0,C,Nurture campaign only,weak industry=Real Estate (0.54x); weak size_band=500-2K (0.99x); lead_source=Inbound Demo (1.15x win rate)
A-07027,Fairhaven Media,Hospitality,8392,US-East,Inbound Demo,311000,34.7,D,Do not work -- suppress from outbound,weak industry=Hospitality (0.40x); lead_source=Inbound Demo (1.15x win rate)
A-07045,Glenmore Diagnostics,Hospitality,6727,UK/EU,Webinar,328000,33.6,D,Do not work -- suppress from outbound,weak industry=Hospitality (0.40x); region=UK/EU (1.11x win rate)
A-07022,Inverness Technologies,Logistics,588,US-East,Outbound SDR,28000,33.1,D,Do not work -- suppress from outbound,weak size_band=500-2K (0.99x); weak lead_source=Outbound SDR (0.79x)
A-07064,Quarry Hill Holdings,Education,85,US-West,Conference,12000,29.5,D,Do not work -- suppress from outbound,weak size_band=1-100 (0.92x); weak lead_source=Conference (0.61x); weak region=US-West (0.83x)
A-07032,Clearwave Diagnostics,Real Estate,297,US-East,Webinar,15000,27.2,D,Do not work -- suppress from outbound,weak industry=Real Estate (0.54x); weak size_band=100-500 (0.94x)
A-07040,Glenmore Media,Media,333,US-East,Conference,17000,24.6,D,Do not work -- suppress from outbound,weak size_band=100-500 (0.94x); weak lead_source=Conference (0.61x)
A-07053,Fenwick Aviation,Logistics,255,US-West,Conference,12000,17.0,D,Do not work -- suppress from outbound,weak size_band=100-500 (0.94x); weak lead_source=Conference (0.61x); weak region=US-West (0.83x)
A-07000,Hollingsworth Labs,Real Estate,1137,US-West,Outbound SDR,53000,16.6,D,Do not work -- suppress from outbound,weak industry=Real Estate (0.54x); weak size_band=500-2K (0.99x); weak lead_source=Outbound SDR (0.79x)
A-07030,Junction Industries,Hospitality,162,US-East,Outbound SDR,12000,13.8,D,Do not work -- suppress from outbound,weak industry=Hospitality (0.40x); weak size_band=100-500 (0.94x); weak lead_source=Outbound SDR (0.79x)
A-07033,Maplewood Technologies,Hospitality,294,US-East,Outbound SDR,12000,13.8,D,Do not work -- suppress from outbound,weak industry=Hospitality (0.40x); weak size_band=100-500 (0.94x); weak lead_source=Outbound SDR (0.79x)
A-07020,Copperfield Robotics,Hospitality,340,US-East,Conference,13000,8.1,D,Do not work -- suppress from outbound,weak industry=Hospitality (0.40x); weak size_band=100-500 (0.94x); weak lead_source=Conference (0.61x)
